id,name,memberType,partyName,color,voteType,reference,bio
p1068,พิธา ลิ้มเจริญรัตน์,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
p1069,ชัยธวัช ตุลาธน,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
p1070,ศิริกัญญา ตันสกุล,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
p1071,เซีย จำปาทอง,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
p1072,อภิสิทธิ์ ไล่ศัตรูไกล,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
p1073,อภิชาติ ศิริสุนทร,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
p1074,วิโรจน์ ลักขณาอดิศร,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
p1075,รังสิมันต์ โรม,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
p1076,สิทธิพล วิบูลย์ธนากุล,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
p1077,สุรเชษฐ์ ประวีณวงศ์วุฒิ,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
p1078,พริษฐ์ วัชรสินธุ,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
p1079,ณัฐวุฒิ บัวประทุม,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
p1080,ณัฐพงษ์ เรืองปัญญาวุฒิ,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
p1081,เบญจา แสงจันทร์,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
p1082,ชัยวัฒน์ สถาวรวิจิตร,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
p1083,ธัญวัจน์ กมลวงศ์วัฒน์,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
p1084,วาโย อัศวรุ่งเรือง,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
p1085,ประเสริฐพงษ์ ศรนวัตร์,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
p1086,มานพ คีรีภูวดล,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
p1087,รอมฎอน ปันจอร์,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
p1088,กรุณพล เทียนสุวรรณ,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
p1089,ปกรณ์วุฒิ อุดมพิพัฒน์สกุล,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
p1090,พูนศักดิ์ จันทร์จำปี,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
p1091,ศุภโชค ไชยสัจ,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
p1092,ศนิวาร บัวบาน,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
p1093,นิติพล ผิวเหมาะ,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
p1095,ปารมี ไวจงเจริญ,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
p1096,วรพร วิริยะโรจน์,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
p1097,สุรวาท ทองบุ,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
p1098,คำพอง เทพาคำ,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
p1099,วรรณวิภา ไม้สน,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
p1100,เลาฟั้ง บัณฑิตเทอดสกุล,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
p1101,องค์การ ชัยบุตร,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
p1102,ชุติมา คชพันธ์,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
p1103,จุลพงศ์ อยู่เกษ,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
p1104,กัลยพัชร รจิตโรจน์,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
p1105,ณรงเดช อุฬารกุล,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
p1106,ภคมน หนุนอนันต์,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
p1107,สุเทพ อู่อ้น,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c1458,ศักดินัย นุ่มหนู,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c3917,อานุภาพ ลิขิตอำนวยชัย,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c2990,ณกร ชารีพันธ์,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c3425,วิทวิสิทธิ์ ปันสวนปลูก,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c869,วรายุทธ ทองสุข,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c878,ปรัชญาวรรณ ไชยสืบ,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c885,ญาณธิชา บัวเผื่อน,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c1475,คริษฐ์ ปานเนียม,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c1482,รัชต์พงศ์ สร้อยสุวรรณ,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c2438,วุฒิพงศ์ ทองเหลา,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c2443,สุนทร คมคาย,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c2859,สมชาติ เตชถาวรเจริญ,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c2870,เฉลิมพงศ์ แสงดี,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c2883,ฐิติกันต์ ฐิติพฤฒิกุล,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c3929,ณัฐพงษ์ สุมโนธรรม,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c3939,ศิริโรจน์ ธนิกกุล,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c3949,ศิรสิทธิ์ สงนุ้ย,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
